delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,sa_lateness
INSTANCE_003,0.25,V2,6,1.1388081253872318,0.0,0.0
INSTANCE_003,0.25,V2,7,0.9790806886126946,0.0,0.0
INSTANCE_003,0.25,V2,8,0.8960308343539007,0.0,0.0
INSTANCE_003,0.25,V2,9,1.257214911607743,6.536290142898906,6.536290142898906
INSTANCE_003,0.25,V2,10,0.8742533364880948,0.0,0.0
INSTANCE_003,0.25,V2,11,0.8767150589374235,0.0,0.0
INSTANCE_003,0.25,V2,12,1.1239689485662845,0.0,0.0
INSTANCE_003,0.25,V2,13,1.2633826575925584,7.43749034747043,7.43749034747043
INSTANCE_003,0.25,V2,14,0.9451557067489208,0.0,0.0
INSTANCE_003,0.25,V2,15,0.9461196595349984,0.0,0.0
INSTANCE_003,0.25,V2,16,1.1555775955532903,0.0,0.0
INSTANCE_003,0.25,V2,17,1.404519219653363,58.444396102681935,53.1311887998686
INSTANCE_003,0.25,V2,18,0.8742533364880948,0.0,0.0
INSTANCE_003,0.25,V2,19,1.1947673996824753,0.0,0.0
INSTANCE_003,0.25,V3,0,0.9153515464809084,0.0,0.0
INSTANCE_003,0.25,V3,1,1.023883842600355,0.0,0.0
INSTANCE_003,0.25,V3,2,1.026209413070951,0.0,0.0
INSTANCE_003,0.25,V3,3,1.301268075376899,0.0,0.0
INSTANCE_003,0.25,V3,4,0.9261341549956502,0.0,0.0
INSTANCE_003,0.25,V3,5,1.289559815894179,0.0,0.0
INSTANCE_003,0.25,V3,6,1.0517077858614825,0.0,0.0
INSTANCE_003,0.25,V3,7,1.2635661311511297,0.0,0.0
INSTANCE_003,0.25,V3,8,1.3212002828942648,0.0,0.0
INSTANCE_003,0.25,V3,9,1.1028326622332307,0.0,0.0
INSTANCE_003,0.25,V3,10,0.9782508662188903,0.0,0.0
INSTANCE_003,0.25,V3,11,1.1174698025844003,0.0,0.0
INSTANCE_003,0.25,V3,12,1.0518190364867388,0.0,0.0
INSTANCE_003,0.25,V3,13,1.0323934338889285,0.0,0.0
INSTANCE_003,0.25,V3,14,1.2553471551593327,0.0,0.0
INSTANCE_003,0.25,V3,15,0.8837955056139003,0.0,0.0
INSTANCE_003,0.25,V3,16,1.2157472228130168,0.0,0.0
INSTANCE_003,0.25,V3,17,1.0204846158059413,0.0,0.0
INSTANCE_003,0.25,V3,18,1.3092975776429652,0.0,0.0
INSTANCE_003,0.25,V3,19,1.1573313544924242,0.0,0.0
INSTANCE_003,0.5,V1,0,1.299274246905029,0.0,0.0
INSTANCE_003,0.5,V1,1,1.0617718848554352,0.0,0.0
INSTANCE_003,0.5,V1,2,0.9313950618685568,0.0,0.0
INSTANCE_003,0.5,V1,3,0.8920130963631127,0.0,0.0
