delivery_date,trigger_fraction,shock,seed,total_distance_km,total_lateness_min,nr_distance,otd_num,otd_den,rsi,moved_stops,n_vehicles,n_unchanged,n_harm,runtime_ms,block_fully_unchanged,block_any_harm
INSTANCE_035,0.25,p85,101,270.141,0.0,281.4062,48,48,0.6508928571428572,23,2,0,0,8989.429950714111,0,0
INSTANCE_035,0.25,p85,202,268.90020000000004,19.92888083333287,281.4062,46,48,0.7625,18,2,0,0,10575.849056243896,0,0
INSTANCE_035,0.25,p85,303,269.9501,0.0,281.4062,48,48,0.7654761904761904,19,2,0,0,2477.394819259644,0,0
INSTANCE_035,0.25,p95,101,269.7525,17.56044666666719,281.4062,46,48,0.7059523809523809,21,2,0,0,8250.720024108887,0,0
INSTANCE_035,0.25,p95,202,269.6648,18.59524666666709,281.4062,46,48,0.7589285714285714,19,2,0,0,10046.890020370483,0,0
INSTANCE_035,0.25,p95,303,269.66490000000005,18.59524666666709,281.4062,46,48,0.6526785714285714,24,2,0,0,2564.420223236084,0,0
INSTANCE_035,0.5,delay20,101,269.0629,0.0,281.4062,48,48,0.7941808191808192,13,2,0,0,2521.2368965148926,0,0
INSTANCE_035,0.5,delay20,202,269.0629,0.0,281.4062,48,48,0.7307192807192807,13,2,0,0,2585.3164196014404,0,0
INSTANCE_035,0.5,delay20,303,269.3863,0.0,281.4062,48,48,0.6675324675324675,15,2,0,0,769.7899341583252,0,0
INSTANCE_035,0.5,delay30,101,269.445,4.8299999999998136,281.4062,47,48,0.6617632367632368,16,2,0,0,2546.201229095459,0,0
INSTANCE_035,0.5,delay30,202,269.6258000000001,4.78999999999985,281.4062,47,48,0.596028971028971,18,2,0,0,2666.27049446106,0,0
INSTANCE_035,0.5,delay30,303,269.63620000000003,4.78999999999985,281.4062,47,48,0.6098401598401598,16,2,0,0,730.7233810424805,0,0
INSTANCE_035,0.5,p85,101,269.35740000000004,0.0,281.4062,48,48,0.659015984015984,17,2,0,0,2752.141237258911,0,0
INSTANCE_035,0.5,p85,202,273.012,0.0,281.4062,48,48,0.6318181818181818,15,2,0,0,2680.613279342652,0,0
INSTANCE_035,0.5,p85,303,270.047,0.0,281.4062,48,48,0.6483016983016983,16,2,0,0,687.3342990875244,0,0
INSTANCE_035,0.5,p95,101,269.0629,0.0,281.4062,48,48,0.7057192807192807,13,2,0,0,2613.971948623657,0,0
INSTANCE_035,0.5,p95,202,269.0629,0.0,281.4062,48,48,0.7307192807192807,13,2,0,0,2767.05265045166,0,0
INSTANCE_035,0.5,p95,303,270.31870000000004,0.0,281.4062,48,48,0.7509990009990011,15,2,0,0,756.3235759735107,0,0
INSTANCE_035,0.75,delay20,101,274.77860000000004,19.06499999999994,281.4062,46,48,0.5976190476190476,8,2,0,0,590.6107425689697,0,0
INSTANCE_035,0.75,delay20,202,274.77860000000004,19.06499999999994,281.4062,46,48,0.5976190476190476,8,2,0,0,637.4542713165283,0,0
INSTANCE_035,0.75,delay20,303,274.77860000000004,19.06499999999994,281.4062,46,48,0.5976190476190476,8,2,0,0,157.67931938171387,0,0
INSTANCE_035,0.75,delay30,101,274.77860000000004,42.601666666666574,281.4062,45,48,0.5976190476190476,8,2,0,0,549.7658252716063,0,0
INSTANCE_035,0.75,delay30,202,274.77860000000004,42.601666666666574,281.4062,45,48,0.5976190476190476,8,2,0,0,684.6518516540527,0,0
