delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,liu_lateness
INSTANCE_012,0.75,V2,3,1.148440204521932,0.0,0.0
INSTANCE_012,0.75,V2,4,0.8939970884413038,0.0,0.0
INSTANCE_012,0.75,V2,5,1.2048323518170836,0.0,0.0
INSTANCE_012,0.75,V2,6,1.3212002828942648,0.0,0.0
INSTANCE_012,0.75,V2,7,0.9153515464809084,0.0,0.0
INSTANCE_012,0.75,V2,8,1.012908100204927,0.0,0.0
INSTANCE_012,0.75,V2,9,0.907589462482472,0.0,0.0
INSTANCE_012,0.75,V3,0,0.8800868685777993,0.0,0.0
INSTANCE_012,0.75,V3,1,1.0920709533600874,0.0,0.0
INSTANCE_012,0.75,V3,2,0.9374865383394811,0.0,0.0
INSTANCE_012,0.75,V3,3,1.0233666890774118,0.0,0.0
INSTANCE_012,0.75,V3,4,1.057495060469951,0.0,0.0
INSTANCE_012,0.75,V3,5,1.025141992324292,0.0,0.0
INSTANCE_012,0.75,V3,6,1.152758917318771,0.0,0.0
INSTANCE_012,0.75,V3,7,0.932747492274802,0.0,0.0
INSTANCE_012,0.75,V3,8,0.8750430865662231,0.0,0.0
INSTANCE_012,0.75,V3,9,0.9467289146039016,0.0,0.0
INSTANCE_017,0.25,V1,0,0.931757014051816,0.0,0.0
INSTANCE_017,0.25,V1,1,0.9211318449250818,0.0,0.0
INSTANCE_017,0.25,V1,2,1.0572782377833292,2.248235843457337,0.0
INSTANCE_017,0.25,V1,3,0.8925702515194052,0.0,0.0
INSTANCE_017,0.25,V1,4,1.039932545501351,0.9001575487891387,0.0
INSTANCE_017,0.25,V1,5,1.052485304120219,1.875737027382911,0.0
INSTANCE_017,0.25,V1,6,1.2336673023720526,15.956899961518502,0.0
INSTANCE_017,0.25,V1,7,0.9426491646829258,0.0,0.0
INSTANCE_017,0.25,V1,8,0.9778499895358336,0.0,0.0
INSTANCE_017,0.25,V1,9,1.248125601735383,17.080574890871162,0.0
INSTANCE_017,0.25,V2,0,1.0377630079269302,0.0,0.0
INSTANCE_017,0.25,V2,1,0.9776540571133564,0.0,0.0
INSTANCE_017,0.25,V2,2,1.0661790585999142,0.0,0.0
INSTANCE_017,0.25,V2,3,0.8750430865662231,0.0,0.0
INSTANCE_017,0.25,V2,4,1.1049113734112834,0.0,0.0
INSTANCE_017,0.25,V2,5,1.0364647119103343,0.0,0.0
INSTANCE_017,0.25,V2,6,0.9452285442867292,0.0,0.0
INSTANCE_017,0.25,V2,7,0.895619622406056,0.0,0.0
