date,trigger,shock,vid,nr_lat,liu_lat,nr_dist,liu_dist,rsi,moved,changed,evals,runtime_ms,otd_num,otd_den,harm
INSTANCE_008,0.5,delay30,V2,39.06499999999983,0.0,161.27500000000003,187.9768,0.4857142857142857,13,True,401,3150.906801223755,29,29,False
INSTANCE_008,0.75,p85,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,143.36872100830078,18,18,False
INSTANCE_008,0.75,p85,V2,8.096759999999904,0.0,161.27500000000003,187.07950000000005,0.75,2,True,401,401.03626251220703,29,29,False
INSTANCE_008,0.75,p95,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,142.07911491394043,18,18,False
INSTANCE_008,0.75,p95,V2,17.233400000000074,5.195524166666701,161.27500000000003,187.40750000000003,0.8214285714285714,3,True,401,384.8276138305664,28,29,False
INSTANCE_008,0.75,delay20,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,142.1952247619629,18,18,False
INSTANCE_008,0.75,delay20,V2,19.064999999999827,6.623333333333335,161.27500000000003,187.40750000000003,0.8214285714285714,3,True,401,390.3694152832031,28,29,False
INSTANCE_008,0.75,delay30,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,141.8764591217041,18,18,False
INSTANCE_008,0.75,delay30,V2,39.06499999999983,16.821666666666715,161.27500000000003,187.40750000000003,0.8214285714285714,3,True,401,388.1239891052246,27,29,False
INSTANCE_020,0.25,p85,V1,10.32735666666656,0.0,153.0333,164.8834,0.5192307692307692,12,True,401,1628.9896965026855,17,17,False
INSTANCE_020,0.25,p85,V2,9.370631333333222,0.0,169.02689999999996,181.5824,0.8105263157894737,17,True,401,5685.240030288696,26,26,False
INSTANCE_020,0.25,p85,V3,11.226973000000498,0.0,153.86210000000003,132.4331,0.6416666666666666,6,True,401,3298.040866851806,21,21,False
INSTANCE_020,0.25,p95,V1,23.83999500000016,0.0,153.0333,155.6615,0.5865384615384616,7,True,401,1813.0879402160645,17,17,False
INSTANCE_020,0.25,p95,V2,36.614412500000185,0.0,169.02689999999996,181.5824,0.7842105263157895,17,True,401,5673.135042190552,26,26,False
INSTANCE_020,0.25,p95,V3,35.55511166666713,0.0,153.86210000000003,133.7364,0.5333333333333333,9,True,401,2668.450832366944,21,21,False
INSTANCE_020,0.25,delay20,V1,23.30666666666707,0.0,153.0333,164.8834,0.5192307692307692,12,True,401,1478.9032936096191,17,17,False
INSTANCE_020,0.25,delay20,V2,36.719999999999686,5.608333333333235,169.02689999999996,196.5481,0.7289473684210526,19,True,401,5517.135620117188,25,26,False
INSTANCE_020,0.25,delay20,V3,43.663333333333526,0.0,153.86210000000003,147.7281,0.4083333333333333,15,True,401,2823.315143585205,21,21,False
INSTANCE_020,0.25,delay30,V1,43.30666666666707,0.0,153.0333,168.75509999999997,0.3782051282051282,12,True,401,1747.9605674743652,17,17,False
INSTANCE_020,0.25,delay30,V2,66.71999999999969,15.608333333333237,169.02689999999996,196.54809999999995,0.7026315789473684,19,True,401,5419.680833816528,25,26,False
INSTANCE_020,0.25,delay30,V3,73.66333333333353,0.0,153.86210000000003,136.13070000000002,0.525,15,True,401,2526.8659591674805,21,21,False
INSTANCE_020,0.5,p85,V1,9.502645666666696,0.0,153.0333,152.7286,0.6666666666666667,5,True,401,654.2537212371826,17,17,False
INSTANCE_020,0.5,p85,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,1650.1216888427734,26,26,False
INSTANCE_020,0.5,p85,V3,5.784356833333391,0.0,153.86210000000003,143.0557,0.5681818181818182,9,True,401,945.9567070007324,21,21,False
INSTANCE_020,0.5,p95,V1,20.734765000000262,0.0,153.0333,155.53859999999997,0.5555555555555556,5,True,401,598.2811450958252,17,17,False
INSTANCE_020,0.5,p95,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,1620.588779449463,26,26,False
INSTANCE_020,0.5,p95,V3,14.968568333333453,0.2790291666667599,153.86210000000003,147.26659999999998,0.6045454545454545,8,True,401,952.0671367645264,20,21,False
INSTANCE_020,0.5,delay20,V1,23.30666666666707,0.0600000000001728,153.0333,155.53859999999997,0.5555555555555556,5,True,401,653.9340019226074,16,17,False
INSTANCE_020,0.5,delay20,V2,15.824999999999932,15.824999999999932,169.02689999999996,169.02689999999996,1.0,0,False,401,1546.5967655181885,25,26,False
INSTANCE_020,0.5,delay20,V3,25.87000000000012,0.0,153.86210000000003,147.2668,0.5363636363636364,9,True,401,873.0523586273193,21,21,False
INSTANCE_020,0.5,delay30,V1,43.30666666666707,1.888333333333435,153.0333,172.4818,0.3611111111111111,7,True,401,654.261589050293,16,17,False
INSTANCE_020,0.5,delay30,V2,25.82499999999993,25.82499999999993,169.02689999999996,169.02689999999996,1.0,0,False,401,1529.2046070098877,25,26,False
INSTANCE_020,0.5,delay30,V3,45.87000000000012,4.063333333333389,153.86210000000003,147.51909999999998,0.4863636363636364,9,True,401,776.425838470459,20,21,False
INSTANCE_020,0.75,p85,V1,3.1424453333335123,0.0,153.0333,155.31019999999998,0.525,2,True,401,162.42504119873047,17,17,False
