delivery_date,trigger_fraction,shock,seed,nr_lateness,sa_lateness,nr_distance,sa_distance,rsi,moved_stops,n_vehicles,sa_changed_vehicles,sa_harm_vehicles
INSTANCE_038,0.5,delay20,101,106.96833333333392,106.96833333333392,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.5,delay30,101,169.61166666666736,154.671666666668,367.1754,383.4004,0.6617647058823529,16,2,1,0
INSTANCE_038,0.75,p85,101,39.93247183333369,39.93247183333369,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.75,p95,101,58.5564025000001,58.5564025000001,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.75,delay20,101,88.88666666666711,88.88666666666711,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.75,delay30,101,141.53000000000054,141.53000000000054,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_045,0.25,p85,101,3.783792333333622,3.783792333333622,386.4763,386.4763,1.0,0,3,0,0
INSTANCE_045,0.25,p95,101,36.48810166666658,20.262918333333342,386.4763,421.0564,0.8986928104575163,23,3,2,0
INSTANCE_045,0.25,delay20,101,32.601666666666915,6.955000000000155,386.4763,478.2265,0.8714596949891068,26,3,2,0
INSTANCE_045,0.25,delay30,101,82.60166666666692,26.955000000000155,386.4763,478.2265,0.8714596949891068,26,3,2,0
INSTANCE_045,0.5,p85,101,0.0,0.0,386.4763,386.4763,1.0,0,3,0,0
INSTANCE_045,0.5,p95,101,14.948006666666856,6.559956666666835,386.4763,426.8246,0.9688644688644688,4,3,1,0
INSTANCE_045,0.5,delay20,101,13.376666666666893,1.3516666666668016,386.4763,398.3802999999999,0.9494949494949496,3,3,1,0
INSTANCE_045,0.5,delay30,101,33.37666666666689,3.051666666666847,386.4763,438.7286,0.9183594183594184,7,3,2,0
INSTANCE_045,0.75,p85,101,0.0,0.0,386.4763,386.4763,1.0,0,3,0,0
INSTANCE_045,0.75,p95,101,0.0,0.0,386.4763,386.4763,1.0,0,3,0,0
INSTANCE_045,0.75,delay20,101,1.3516666666668016,1.3516666666668016,386.4763,386.4763,1.0,0,3,0,0
INSTANCE_045,0.75,delay30,101,11.351666666666802,11.351666666666802,386.4763,386.4763,1.0,0,3,0,0
INSTANCE_047,0.25,p85,101,45.31756266666741,29.012336000000573,443.8531,467.8174,0.8986605182257357,6,3,2,0
INSTANCE_047,0.25,p95,101,138.8535541666672,85.27185083333404,443.8531,475.3752,0.8003212907103068,25,3,3,0
INSTANCE_047,0.25,delay20,101,70.81333333333407,29.246666666667124,443.8531,498.2366,0.7520860781730346,31,3,2,0
INSTANCE_047,0.25,delay30,101,138.94166666666797,65.89166666666756,443.8531,489.7301000000001,0.7173173381411367,33,3,3,0
INSTANCE_047,0.5,p85,101,18.248790833333487,5.517864500000201,443.8531,489.7502,0.8851037851037851,9,3,2,0
INSTANCE_047,0.5,p95,101,50.15100916666711,20.964447500000347,443.8531,489.7502,0.8851037851037851,9,3,2,0
INSTANCE_047,0.5,delay20,101,70.81333333333407,21.958333333334053,443.8531,505.9035,0.808913308913309,13,3,3,0
INSTANCE_047,0.5,delay30,101,138.94166666666797,80.30166666666798,443.8531,499.9216,0.8331196581196582,21,3,3,0
INSTANCE_047,0.75,p85,101,3.96171416666698,3.96171416666698,443.8531,443.8531,1.0,0,3,0,0
INSTANCE_047,0.75,p95,101,14.439140000000291,14.439140000000291,443.8531,443.8531,1.0,0,3,0,0
INSTANCE_047,0.75,delay20,101,43.85000000000037,28.87333333333368,443.8531,456.801,0.8333333333333334,3,3,1,0
INSTANCE_047,0.75,delay30,101,83.92000000000075,48.16166666666754,443.8531,490.1346,0.746031746031746,8,3,2,0
INSTANCE_051,0.25,p85,101,15.2682278333333,0.0,157.30270000000002,159.1434,0.7986111111111112,2,1,1,0
INSTANCE_051,0.25,p95,101,33.9419341666669,0.0,157.30270000000002,220.0251,0.4861111111111111,9,1,1,0
INSTANCE_051,0.25,delay20,101,19.70166666666671,3.898333333333312,157.30270000000002,159.1434,0.7986111111111112,2,1,1,0
INSTANCE_051,0.25,delay30,101,39.70166666666671,0.0,157.30270000000002,248.0688,0.4722222222222222,7,1,1,0
INSTANCE_051,0.5,p85,101,5.922022833333358,0.0,157.30270000000002,159.1434,0.6666666666666667,2,1,1,0
INSTANCE_051,0.5,p95,101,14.852950833333352,1.2934333333334962,157.30270000000002,161.05630000000002,0.6333333333333333,3,1,1,0
INSTANCE_051,0.5,delay20,101,15.8033333333334,0.0,157.30270000000002,161.05630000000002,0.6333333333333333,3,1,1,0
INSTANCE_051,0.5,delay30,101,25.8033333333334,0.0,157.30270000000002,193.5988,0.4666666666666667,3,1,1,0
INSTANCE_051,0.75,p85,101,0.0,0.0,157.30270000000002,157.30270000000002,1.0,0,1,0,0
INSTANCE_051,0.75,p95,101,0.0,0.0,157.30270000000002,157.30270000000002,1.0,0,1,0,0
INSTANCE_051,0.75,delay20,101,15.8033333333334,0.0,157.30270000000002,159.1434,0.3333333333333333,2,1,1,0
INSTANCE_051,0.75,delay30,101,25.8033333333334,7.453333333333376,157.30270000000002,159.1434,0.3333333333333333,2,1,1,0
INSTANCE_055,0.25,p85,101,29.91454550000049,29.91454550000049,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.25,p95,101,94.74284500000056,94.74284500000056,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.25,delay20,101,68.24499999999966,60.05166666666662,447.1777000000001,451.1129000000001,0.8949275362318841,9,3,1,0
INSTANCE_055,0.25,delay30,101,134.64333333333298,106.23499999999945,447.1777000000001,541.1549000000001,0.795721187025535,28,3,2,0
INSTANCE_055,0.5,p85,101,9.835204500000032,9.835204500000032,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.5,p95,101,38.60575916666676,38.60575916666676,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.5,delay20,101,56.77499999999986,38.2016666666666,447.1777000000001,497.4987000000001,0.9089133089133088,12,3,2,0
INSTANCE_055,0.5,delay30,101,112.81999999999982,81.7166666666667,447.1777000000001,493.04910000000007,0.8731990231990232,13,3,2,0
INSTANCE_055,0.75,p85,101,1.3931973333335463,1.3931973333335463,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.75,p95,101,7.671426666666662,7.671426666666662,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.75,delay20,101,20.550000000000185,20.550000000000185,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_055,0.75,delay30,101,40.55000000000018,40.55000000000018,447.1777000000001,447.1777000000001,1.0,0,3,0,0
INSTANCE_057,0.25,p85,101,26.38630516666637,19.49545483333316,557.5214999999998,579.7406999999998,0.955065359477124,12,4,1,0
INSTANCE_057,0.25,p95,101,78.722235833333,65.73616416666653,557.5214999999998,579.7406999999998,0.955065359477124,12,4,1,0
INSTANCE_057,0.25,delay20,101,87.08999999999946,46.9349999999996,557.5214999999998,594.6830999999999,0.9006920367214485,20,4,3,0
INSTANCE_057,0.25,delay30,101,147.41999999999928,74.58333333333326,557.5214999999998,649.1324,0.8633543743837861,21,4,3,0
INSTANCE_057,0.5,p85,101,11.541929333333089,8.97005183333306,557.5214999999998,558.0184999999999,0.980952380952381,2,4,1,0
INSTANCE_057,0.5,p95,101,41.081431666665935,21.86206166666591,557.5214999999998,613.5885999999999,0.9437770562770562,5,4,2,0
INSTANCE_057,0.5,delay20,101,47.45499999999947,17.14833333333297,557.5214999999998,613.5885999999999,0.9437770562770562,5,4,2,0
INSTANCE_057,0.5,delay30,101,87.78499999999929,41.79999999999927,557.5214999999998,628.9646999999999,0.9210497835497836,9,4,2,0
INSTANCE_057,0.75,p85,101,0.7533333333333303,0.7533333333333303,557.5214999999998,557.5214999999998,1.0,0,4,0,0
INSTANCE_057,0.75,p95,101,3.285848333333206,0.7533333333333303,557.5214999999998,558.0184999999999,0.9598214285714286,2,4,1,0
INSTANCE_057,0.75,delay20,101,15.621666666666329,3.074999999999818,557.5214999999998,612.5052999999999,0.9375,2,4,1,0
INSTANCE_057,0.75,delay30,101,35.62166666666633,15.223333333333017,557.5214999999998,612.5052999999999,0.9375,2,4,1,0
INSTANCE_060,0.25,p85,101,185.49202166666635,154.3156733333337,371.7589,355.5359,0.8423525950699864,20,2,2,0
INSTANCE_060,0.25,p95,101,370.99815083333226,285.8122233333331,371.7589,357.0639,0.8711987489161402,21,2,2,0
INSTANCE_060,0.25,delay20,101,171.65000000000066,146.6133333333329,371.7589,355.3315,0.8526802303976216,18,2,2,0
INSTANCE_060,0.25,delay30,101,271.65000000000066,235.10499999999945,371.7589,355.3315,0.8526802303976216,18,2,2,0
INSTANCE_060,0.5,p85,101,112.08112249999988,102.72843399999954,371.7589,342.7225,0.9041666666666668,13,2,1,0
INSTANCE_060,0.5,p95,101,208.5073166666657,178.0768308333321,371.7589,342.7225,0.9041666666666668,13,2,1,0
INSTANCE_060,0.5,delay20,101,159.54833333333374,128.6216666666669,371.7589,361.8961,0.814297385620915,21,2,2,0
INSTANCE_060,0.5,delay30,101,249.54833333333372,191.586666666666,371.7589,353.0596,0.7244281045751635,23,2,2,0
INSTANCE_060,0.75,p85,101,77.52121049999982,72.81069716666639,371.7589,342.6607,0.9017857142857144,8,2,1,0
INSTANCE_060,0.75,p95,101,134.31721583333365,112.6085158333334,371.7589,342.6607,0.9017857142857144,8,2,1,0
INSTANCE_060,0.75,delay20,101,139.17333333333363,103.5933333333328,371.7589,353.1516,0.6830357142857143,14,2,2,0
INSTANCE_060,0.75,delay30,101,209.17333333333363,151.7983333333326,371.7589,353.1516,0.6830357142857143,14,2,2,0
